Episode;Total Reward;Epsilon;Elapsed time [s]
803;220.655;0.018;17.34
804;129.17;0.018;20.39
805;-394.625;0.018;4.19
806;199.151;0.018;6.91
807;236.314;0.018;11.64
808;-476.399;0.017;5.91
809;258.849;0.017;4.73
810;-20.183;0.017;2.87
811;-41.816;0.017;4.48
812;204.201;0.017;7.64
813;262.784;0.017;17.46
814;211.883;0.017;9.92
815;252.34;0.017;4.93
816;-70.721;0.017;4.01
817;-94.07;0.017;4.31
818;153.189;0.017;20.05
819;183.709;0.016;5.97
820;-335.954;0.016;1.52
821;150.001;0.016;19.96
822;-10.462;0.016;1.8
823;277.084;0.016;4.2
824;284.498;0.016;6.37
825;270.23;0.016;16.89
826;238.569;0.016;5.91
827;-48.75;0.016;3.32
828;195.514;0.016;11.72
829;-31.891;0.016;4.71
830;69.536;0.016;20.62
831;188.287;0.016;9.51
832;271.338;0.015;9.08
833;-204.794;0.015;2.35
834;-300.62;0.015;1.51
835;148.652;0.015;20.49
836;-35.055;0.015;2.97
837;223.387;0.015;6.19
838;-222.854;0.015;1.12
839;167.759;0.015;14.79
840;-281.865;0.015;1.09
841;-333.519;0.015;7.66
842;-155.411;0.015;2.82
843;280.105;0.015;4.27
844;-282.859;0.015;1.07
845;232.244;0.014;11.41
846;189.871;0.014;3.31
847;193.926;0.014;5.78
848;-330.441;0.014;2.35
849;-76.349;0.014;3.58
850;193.354;0.014;6.2
851;223.791;0.014;4.5
852;-277.746;0.014;1.2
853;255.45;0.014;4.6
854;175.389;0.014;10.5
855;239.271;0.014;5.45
856;203.446;0.014;11.83
857;-347.865;0.014;1.72
858;195.729;0.014;4.54
859;260.738;0.013;7.89
860;-160.111;0.013;6.68
861;-160.605;0.013;1.27
862;140.977;0.013;20.44
863;264.558;0.013;7.02
864;-324.105;0.013;1.23
865;-243.12;0.013;1.55
866;-185.594;0.013;1.61
867;210.107;0.013;5.12
868;-276.431;0.013;1.24
869;258.656;0.013;9.85
870;-398.992;0.013;1.69
871;-134.315;0.013;1.17
872;-155.613;0.013;4.26
873;236.338;0.013;4.48
874;-217.564;0.013;1.46
875;207.683;0.012;4.03
876;-236.007;0.012;1.45
877;-192.334;0.012;1.27
878;-304.959;0.012;1.71
879;270.934;0.012;7.0
880;-192.493;0.012;0.99
881;-197.068;0.012;1.18
882;-268.314;0.012;1.54
883;-250.959;0.012;1.06
884;212.069;0.012;13.74
885;-241.499;0.012;1.79
886;-256.809;0.012;3.86
887;-255.784;0.012;1.09
888;195.961;0.012;9.54
889;-195.336;0.012;1.78
890;110.076;0.012;20.4
891;-279.183;0.011;1.41
892;-282.621;0.011;1.43
893;-29.214;0.011;1.75
894;-476.577;0.011;1.45
895;-230.773;0.011;1.33
896;-243.048;0.011;1.38
897;-8.513;0.011;3.58
898;-263.321;0.011;1.59
899;-220.552;0.011;1.78
900;-248.253;0.011;1.24
901;-233.264;0.011;1.42
902;-281.885;0.011;1.36
903;-293.069;0.011;1.89
904;-237.568;0.011;1.74
905;-233.743;0.011;1.39
906;-220.807;0.011;1.16
907;249.826;0.011;4.9
908;-349.255;0.011;1.46
909;-284.11;0.01;1.4
910;-228.499;0.01;1.79
911;-223.579;0.01;1.34
912;269.046;0.01;4.37
913;-188.16;0.01;1.13
914;-413.806;0.01;1.84
915;-222.322;0.01;1.29
916;-155.923;0.01;1.83
917;282.443;0.01;11.25
918;-130.846;0.01;4.16
919;-73.937;0.01;3.24
920;-304.18;0.01;1.54
921;200.582;0.01;6.5
922;-183.765;0.01;1.43
923;-297.502;0.01;1.65
924;-245.61;0.01;1.53
925;-214.284;0.01;1.26
926;208.501;0.01;7.89
927;-216.776;0.01;1.08
928;-237.849;0.01;1.58
929;-192.786;0.01;1.72
930;-194.738;0.01;1.34
931;-274.588;0.01;1.1
932;-216.285;0.01;1.14
933;-244.369;0.01;1.81
934;-201.159;0.01;1.29
935;-179.495;0.01;1.71
936;-159.088;0.01;1.55
937;248.889;0.01;13.48
938;-126.983;0.01;1.3
939;-154.445;0.01;3.81
940;-188.555;0.01;1.35
941;-212.84;0.01;1.15
942;-232.443;0.01;1.39
943;-155.673;0.01;1.47
944;-206.261;0.01;1.24
945;-250.103;0.01;1.17
